,user_id,feature_used,session_duration,engagement_score,accessibility_settings,age_group,gender,additional_attributes,user_characteristics
0,user_4737,Multilingual,60.77,4,4,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
1,user_1492,Text-to-Speech,20.2,5,4,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
2,user_5936,Colorblind Mode,93.78,2,2,Adult,Female,Straight,Adult/Female/Straight
3,user_5519,Colorblind Mode,26.36,3,1,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
4,user_1853,High Contrast Mode,91.67,5,1,Young Adult,Male,Straight,Young Adult/Male/Straight
5,user_8101,High Contrast Mode,20.72,4,0,Adult,Male,Straight,Adult/Male/Straight
6,user_5356,Text-to-Speech,26.34,1,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
7,user_8515,Text-to-Speech,93.82,4,5,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
8,user_6496,Text-to-Speech,32.02,3,4,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
9,user_3568,Colorblind Mode,90.63,4,3,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
10,user_7424,Text-to-Speech,107.66,3,3,Young Adult,Non-Binary,LGBTQ+,Young Adult/Non-Binary/LGBTQ+
11,user_3453,High Contrast Mode,5.95,5,5,Young Adult,Male,Straight,Young Adult/Male/Straight
12,user_5460,Text-to-Speech,31.42,4,4,Teenager,Female,Straight,Teenager/Female/Straight
13,user_3349,High Contrast Mode,77.99,5,1,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
14,user_3322,Colorblind Mode,79.81,2,4,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
15,user_2717,High Contrast Mode,20.87,1,1,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
16,user_7759,High Contrast Mode,62.68,4,3,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
17,user_562,High Contrast Mode,66.38,5,1,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
18,user_2140,Text-to-Speech,88.4,3,0,Senior,Female,Straight,Senior/Female/Straight
19,user_8269,Text-to-Speech,96.47,2,5,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
20,user_9718,Visual Aid,82.98,1,3,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
21,user_9905,Multilingual,119.48,4,1,Adult,Male,Straight,Adult/Male/Straight
22,user_6584,Multilingual,89.78,3,5,Teenager,Non-Binary,Straight,Teenager/Non-Binary/Straight
23,user_6692,Colorblind Mode,8.49,4,4,Professional,Non-Binary,Person of Color,Professional/Non-Binary/Person of Color
24,user_7119,High Contrast Mode,78.03,1,1,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
25,user_8219,Visual Aid,20.98,3,3,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
26,user_7091,Colorblind Mode,53.7,4,0,Young Adult,Female,Straight,Young Adult/Female/Straight
27,user_8734,Text-to-Speech,92.49,3,3,Professional,Non-Binary,Straight,Professional/Non-Binary/Straight
28,user_6046,Text-to-Speech,8.51,5,1,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
29,user_8837,Multilingual,101.22,2,2,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
30,user_4401,Multilingual,38.03,4,4,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
31,user_3483,Text-to-Speech,106.07,1,2,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
32,user_1141,Colorblind Mode,98.09,3,3,Senior,Non-Binary,Straight,Senior/Non-Binary/Straight
33,user_1457,Multilingual,49.37,2,3,Senior,Non-Binary,LGBTQ+,Senior/Non-Binary/LGBTQ+
34,user_6312,High Contrast Mode,72.09,1,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
35,user_2648,Multilingual,80.72,2,4,Adult,Male,Straight,Adult/Male/Straight
36,user_1099,Visual Aid,62.0,4,2,Senior,Non-Binary,Person of Color,Senior/Non-Binary/Person of Color
37,user_973,Text-to-Speech,84.0,4,5,Adult,Non-Binary,Person of Color,Adult/Non-Binary/Person of Color
38,user_6638,Colorblind Mode,58.13,2,4,Senior,Male,Straight,Senior/Male/Straight
39,user_5809,Colorblind Mode,26.63,1,4,Professional,Non-Binary,LGBTQ+,Professional/Non-Binary/LGBTQ+
40,user_1381,Visual Aid,21.04,4,0,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
41,user_4993,Colorblind Mode,68.17,3,5,Adult,Non-Binary,Straight,Adult/Non-Binary/Straight
42,user_4147,Visual Aid,27.04,5,0,Teenager,Non-Binary,LGBTQ+,Teenager/Non-Binary/LGBTQ+
43,user_7564,Visual Aid,78.58,1,5,Adult,Non-Binary,LGBTQ+,Adult/Non-Binary/LGBTQ+
44,user_3388,Multilingual,59.11,4,5,Young Adult,Non-Binary,Straight,Young Adult/Non-Binary/Straight
45,user_6596,Text-to-Speech,111.28,4,4,Young Adult,Non-Binary,Person of Color,Young Adult/Non-Binary/Person of Color
46,user_5959,Multilingual,89.08,3,3,Young Adult,Male,Straight,Young Adult/Male/Straight
47,user_4755,Visual Aid,21.72,2,2,Teenager,Non-Binary,Person of Color,Teenager/Non-Binary/Person of Color
